taxonKey,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source
196392260,LT,present,introduced,invasive,,,
8368630,LT,present,introduced,invasive,,,
196392263,LT,present,introduced,,,,
196392268,LT,present,introduced,,,,
196392273,LT,present,introduced,,,,
196392275,LT,present,introduced,invasive,,,
196392278,LT,present,introduced,invasive,,,
196392280,LT,present,introduced,invasive,,,
196392284,LT,present,introduced,invasive,,,
196392287,LT,present,introduced,invasive,,,
196392288,LT,present,introduced,,,,
196392291,LT,present,introduced,invasive,,,
196392293,LT,present,introduced,invasive,,,
196392295,LT,present,introduced,invasive,,,
196392298,LT,present,introduced,,,,
196392300,LT,present,introduced,,,,
196392302,LT,present,introduced,,,,
196392303,LT,present,introduced,,,,
196392304,LT,present,introduced,,,,
4314683,LT,present,introduced,,,,
196392306,LT,present,introduced,,,,
196392307,LT,present,introduced,,,,
196392309,LT,present,introduced,,,,
196392310,LT,present,introduced,,,,
196392311,LT,present,introduced,,,,
196392312,LT,present,introduced,,,,
196392317,LT,present,introduced,,,,
196392318,LT,present,introduced,,,,
196392321,LT,present,introduced,,,,
196392323,LT,present,introduced,,,,
196392324,LT,present,introduced,invasive,,,
196392329,LT,present,introduced,,,,
196392330,LT,present,introduced,invasive,,,
196392331,LT,present,introduced,,,,
196392332,LT,present,introduced,,,,
196392336,LT,present,introduced,invasive,,,
196392338,LT,present,introduced,,,,
196392339,LT,present,introduced,,,,
196392342,LT,present,introduced,,,,
8909595,LT,present,introduced,invasive,,,
4270548,LT,present,introduced,,,,
196392347,LT,present,introduced,invasive,,,
4115425,LT,present,introduced,,,,
196392350,LT,present,introduced,,,,
196392351,LT,present,introduced,,,,
196392352,LT,present,introduced,,,,
196392353,LT,present,introduced,,,,
196392355,LT,present,introduced,,,,
196392357,LT,present,introduced,,,,
196392358,LT,present,introduced,,,,
196392360,LT,present,introduced,,,,
6467647,LT,present,introduced,invasive,,,
5289972,LT,present,introduced,,,,
196392364,LT,present,introduced,,,,
196392366,LT,present,introduced,,,,
196392368,LT,present,introduced,,,,
196392371,LT,present,introduced,invasive,,,
2703647,LT,present,introduced,,,,
196392375,LT,present,introduced,,,,
196392376,LT,present,introduced,,,,
196392377,LT,present,introduced,,,,
196392378,LT,present,introduced,,,,
196392380,LT,present,introduced,invasive,,,
196392382,LT,present,introduced,,,,
196392383,LT,present,introduced,,,,
2703712,LT,present,introduced,,,,
2703231,LT,present,introduced,,,,
196392391,LT,present,introduced,,,,
196392394,LT,present,introduced,,,,
2703723,LT,present,introduced,,,,
2703760,LT,present,introduced,,,,
196392400,LT,present,introduced,,,,
196392401,LT,present,introduced,,,,
196392402,LT,present,introduced,,,,
196392404,LT,present,introduced,,,,
2705196,LT,present,introduced,,,,
6178421,LT,present,introduced,,,,
196392410,LT,present,introduced,,,,
196392411,LT,present,introduced,,,,
196392412,LT,present,introduced,,,,
2703746,LT,present,introduced,invasive,,,
2702727,LT,present,introduced,,,,
196392418,LT,present,introduced,,,,
196392419,LT,present,introduced,invasive,,,
7226794,LT,present,introduced,,,,
196392423,LT,present,introduced,,,,
2705162,LT,present,introduced,,,,
196392427,LT,present,introduced,,,,
196392428,LT,present,introduced,,,,
196392429,LT,present,introduced,,,,
196392430,LT,present,introduced,,,,
196392431,LT,present,introduced,,,,
196392432,LT,present,introduced,,,,
196392433,LT,present,introduced,,,,
196392434,LT,present,introduced,,,,
196392435,LT,present,introduced,,,,
196392436,LT,present,introduced,,,,
196392440,LT,present,introduced,,,,
196392441,LT,present,introduced,,,,
196392442,LT,present,introduced,,,,
196392443,LT,present,introduced,,,,
196392447,LT,present,introduced,,,,
196392449,LT,present,introduced,,,,
196392452,LT,present,introduced,,,,
8080743,LT,present,introduced,,,,
196392456,LT,present,introduced,,,,
196392457,LT,present,introduced,,,,
196392459,LT,present,introduced,,,,
196392460,LT,present,introduced,,,,
196392461,LT,present,introduced,,,,
196392463,LT,present,introduced,,,,
196392464,LT,present,introduced,,,,
196392465,LT,present,introduced,,,,
196392466,LT,present,introduced,,,,
196392469,LT,present,introduced,,,,
196392471,LT,present,introduced,,,,
5218823,LT,present,introduced,invasive,,,
196392473,LT,present,introduced,,,,
196392476,LT,present,introduced,,,,
196392477,LT,present,introduced,invasive,,,
196392484,LT,present,introduced,,,,
196392486,LT,present,introduced,,,,
196392487,LT,present,introduced,,,,
196392489,LT,present,introduced,,,,
196392490,LT,present,introduced,invasive,,,
196392492,LT,present,introduced,invasive,,,
196392494,LT,present,introduced,,,,
7095758,LT,present,introduced,invasive,,,
196392500,LT,present,introduced,,,,
196392501,LT,present,introduced,,,,
196392502,LT,present,introduced,,,,
196392503,LT,present,introduced,invasive,,,
196392504,LT,present,introduced,,,,
196392505,LT,present,introduced,invasive,,,
196392506,LT,present,introduced,,,,
196392507,LT,present,introduced,,,,
196392508,LT,present,introduced,invasive,,,
196392513,LT,present,introduced,,,,
196392514,LT,present,introduced,invasive,,,
196392517,LT,present,introduced,,,,
2390064,LT,present,introduced,,,,
196392521,LT,present,introduced,invasive,,,
196392523,LT,present,introduced,invasive,,,
196392525,LT,present,introduced,invasive,,,
196392527,LT,present,introduced,,,,
196392530,LT,present,introduced,,,,
196392531,LT,present,introduced,invasive,,,
4286868,LT,present,introduced,,,,
11162940,LT,present,introduced,,,,
196392538,LT,present,introduced,,,,
196392540,LT,present,introduced,invasive,,,
196392541,LT,present,introduced,,,,
4201695,LT,present,introduced,,,,
196392543,LT,present,introduced,,,,
2362486,LT,present,introduced,,,,
7768495,LT,present,introduced,,,,
196392549,LT,present,introduced,,,,
5361982,LT,present,introduced,,,,
196392553,LT,present,introduced,,,,
196392555,LT,present,introduced,,,,
196392556,LT,present,introduced,invasive,,,
196392558,LT,present,introduced,,,,
7334609,LT,present,introduced,,,,
196392563,LT,present,introduced,,,,
196392565,LT,present,introduced,,,,
196392567,LT,present,introduced,,,,
196392568,LT,present,introduced,,,,
196392569,LT,present,introduced,,,,
196392574,LT,present,introduced,,,,
196392575,LT,present,introduced,invasive,,,
196392578,LT,present,introduced,,,,
196392579,LT,present,introduced,,,,
196392580,LT,present,introduced,,,,
2925870,LT,present,introduced,,,,
196392585,LT,present,introduced,,,,
196392587,LT,present,introduced,,,,
196392588,LT,present,introduced,,,,
196392589,LT,present,introduced,,,,
196392592,LT,present,introduced,,,,
196392593,LT,present,introduced,,,,
5192470,LT,present,introduced,,,,
2925916,LT,present,introduced,,,,
196392602,LT,present,introduced,,,,
196392604,LT,present,introduced,,,,
196392606,LT,present,introduced,,,,
196392607,LT,present,introduced,invasive,,,
196392608,LT,present,introduced,,,,
196392609,LT,present,introduced,,,,
196392610,LT,present,introduced,,,,
196392611,LT,present,introduced,,,,
3797084,LT,present,introduced,,,,
196392614,LT,present,introduced,,,,
196392615,LT,present,introduced,,,,
2929800,LT,present,introduced,,,,
196392618,LT,present,introduced,,,,
196392620,LT,present,introduced,,,,
196392621,LT,present,introduced,,,,
2928753,LT,present,introduced,,,,
196392623,LT,present,introduced,,,,
196392624,LT,present,introduced,,,,
2928534,LT,present,introduced,,,,
196392628,LT,present,introduced,,,,
196392629,LT,present,introduced,,,,
196392631,LT,present,introduced,,,,
196392634,LT,present,introduced,invasive,,,
196392635,LT,present,introduced,,,,
196392636,LT,present,introduced,,,,
196392637,LT,present,introduced,,,,
196392638,LT,present,introduced,,,,
3141101,LT,present,introduced,,,,
196392640,LT,present,introduced,,,,
196392641,LT,present,introduced,,,,
196392642,LT,present,introduced,,,,
5702122,LT,present,introduced,,,,
196392645,LT,present,introduced,,,,
196392646,LT,present,introduced,,,,
196392647,LT,present,introduced,,,,
3151618,LT,present,introduced,,,,
3117449,LT,present,introduced,,,,
196392653,LT,present,introduced,,,,
196392654,LT,present,introduced,,,,
196392655,LT,present,introduced,,,,
196392656,LT,present,introduced,invasive,,,
196392657,LT,present,introduced,,,,
196392658,LT,present,introduced,invasive,,,
196392659,LT,present,introduced,,,,
3151558,LT,present,introduced,invasive,,,
196392662,LT,present,introduced,,,,
7336866,LT,present,introduced,,,,
7066336,LT,present,introduced,,,,
196392666,LT,present,introduced,,,,
196392667,LT,present,introduced,,,,
7337422,LT,present,introduced,,,,
196392670,LT,present,introduced,,,,
196392671,LT,present,introduced,invasive,,,
196392672,LT,present,introduced,,,,
196392673,LT,present,introduced,,,,
4230852,LT,present,introduced,,,,
196392676,LT,present,introduced,,,,
196392677,LT,present,introduced,,,,
8271521,LT,present,introduced,,,,
196392680,LT,present,introduced,,,,
3117449,LT,present,introduced,invasive,,,
7223475,LT,present,introduced,,,,
10676000,LT,present,introduced,,,,
196392688,LT,present,introduced,,,,
196392689,LT,present,introduced,,,,
196392690,LT,present,introduced,,,,
196392691,LT,present,introduced,invasive,,,
196392692,LT,present,introduced,,,,
196392693,LT,present,introduced,,,,
196392694,LT,present,introduced,,,,
196392695,LT,present,introduced,,,,
7262098,LT,present,introduced,,,,
196392697,LT,present,introduced,,,,
196392698,LT,present,introduced,,,,
196392699,LT,present,introduced,,,,
196392700,LT,present,introduced,invasive,,,
196392701,LT,present,introduced,,,,
196392702,LT,present,introduced,,,,
196392703,LT,present,introduced,invasive,,,
3141890,LT,present,introduced,,,,
196392706,LT,present,introduced,,,,
3121526,LT,present,introduced,,,,
3146791,LT,present,introduced,invasive,,,
3103791,LT,present,introduced,invasive,,,
196392712,LT,present,introduced,,,,
196392713,LT,present,introduced,,,,
196392714,LT,present,introduced,,,,
196392715,LT,present,introduced,,,,
196392718,LT,present,introduced,,,,
196392719,LT,present,introduced,,,,
196392720,LT,present,introduced,,,,
196392721,LT,present,introduced,invasive,,,
3088488,LT,present,introduced,,,,
196392724,LT,present,introduced,,,,
4225554,LT,present,introduced,invasive,,,
7627205,LT,present,introduced,,,,
196392729,LT,present,introduced,,,,
3132567,LT,present,introduced,invasive,,,
196392733,LT,present,introduced,,,,
196392734,LT,present,introduced,,,,
196392735,LT,present,introduced,,,,
196392736,LT,present,introduced,,,,
196392739,LT,present,introduced,,,,
196392740,LT,present,introduced,,,,
196392741,LT,present,introduced,,,,
196392742,LT,present,introduced,,,,
196392743,LT,present,introduced,,,,
8166287,LT,present,introduced,,,,
196392746,LT,present,introduced,invasive,,,
196392747,LT,present,introduced,,,,
196392748,LT,present,introduced,,,,
196392749,LT,present,introduced,,,,
5371753,LT,present,introduced,,,,
196392752,LT,present,introduced,,,,
196392753,LT,present,introduced,,,,
196392754,LT,present,introduced,,,,
196392755,LT,present,introduced,,,,
196392758,LT,present,introduced,,,,
196392759,LT,present,introduced,,,,
196392760,LT,present,introduced,invasive,,,
196392761,LT,present,introduced,,,,
8976401,LT,present,introduced,,,,
196392764,LT,present,introduced,,,,
196392765,LT,present,introduced,,,,
8811572,LT,present,introduced,,,,
196392768,LT,present,introduced,,,,
196392769,LT,present,introduced,,,,
196392770,LT,present,introduced,,,,
196392771,LT,present,introduced,,,,
8044896,LT,present,introduced,,,,
196392778,LT,present,introduced,,,,
196392779,LT,present,introduced,,,,
196392780,LT,present,introduced,,,,
196392781,LT,present,introduced,,,,
5568428,LT,present,introduced,,,,
196392784,LT,present,introduced,,,,
196392785,LT,present,introduced,invasive,,,
196392786,LT,present,introduced,,,,
196392787,LT,present,introduced,,,,
196392788,LT,present,introduced,,,,
3083975,LT,present,introduced,invasive,,,
5383936,LT,present,introduced,,,,
7788974,LT,present,introduced,,,,
196392794,LT,present,introduced,,,,
196392796,LT,present,introduced,,,,
196392797,LT,present,introduced,,,,
3083888,LT,present,introduced,,,,
196392800,LT,present,introduced,,,,
3083838,LT,present,introduced,,,,
196392802,LT,present,introduced,,,,
8149099,LT,present,introduced,,,,
196392805,LT,present,introduced,,,,
8336376,LT,present,introduced,,,,
196392808,LT,present,introduced,,,,
196392809,LT,present,introduced,,,,
5568322,LT,present,introduced,,,,
196392812,LT,present,introduced,,,,
196392814,LT,present,introduced,,,,
8091998,LT,present,introduced,,,,
196392819,LT,present,introduced,,,,
196392820,LT,present,introduced,,,,
196392822,LT,present,introduced,,,,
5384741,LT,present,introduced,,,,
196392825,LT,present,introduced,,,,
196392827,LT,present,introduced,,,,
196392828,LT,present,introduced,invasive,,,
196392829,LT,present,introduced,invasive,,,
196392830,LT,present,introduced,,,,
196392831,LT,present,introduced,,,,
5584611,LT,present,introduced,,,,
7268098,LT,present,introduced,,,,
196392838,LT,present,introduced,invasive,,,
196392839,LT,present,introduced,,,,
196392840,LT,present,introduced,invasive,,,
196392843,LT,present,introduced,,,,
8012439,LT,present,introduced,,,,
196392846,LT,present,introduced,,,,
196392847,LT,present,introduced,,,,
196392848,LT,present,introduced,,,,
196392849,LT,present,introduced,,,,
196392850,LT,present,introduced,,,,
196392853,LT,present,introduced,,,,
196392854,LT,present,introduced,,,,
196392855,LT,present,introduced,,,,
196392856,LT,present,introduced,,,,
196392857,LT,present,introduced,,,,
196392858,LT,present,introduced,,,,
196392859,LT,present,introduced,,,,
3940326,LT,present,introduced,,,,
7428145,LT,present,introduced,,,,
196392864,LT,present,introduced,,,,
196392865,LT,present,introduced,,,,
196392866,LT,present,introduced,,,,
196392867,LT,present,introduced,,,,
196392870,LT,present,introduced,,,,
196392871,LT,present,introduced,,,,
196392872,LT,present,introduced,,,,
9568373,LT,present,introduced,,,,
7332995,LT,present,introduced,,,,
196392878,LT,present,introduced,invasive,,,
196392879,LT,present,introduced,invasive,,,
196392880,LT,present,introduced,,,,
196392881,LT,present,introduced,,,,
196392882,LT,present,introduced,,,,
7346102,LT,present,introduced,,,,
196392887,LT,present,introduced,,,,
196392888,LT,present,introduced,,,,
196392889,LT,present,introduced,,,,
196392890,LT,present,introduced,,,,
196392891,LT,present,introduced,,,,
196392892,LT,present,introduced,,,,
196392893,LT,present,introduced,,,,
196392894,LT,present,introduced,,,,
196392895,LT,present,introduced,,,,
196392896,LT,present,introduced,,,,
3884879,LT,present,introduced,,,,
3903454,LT,present,introduced,,,,
196392901,LT,present,introduced,,,,
196392902,LT,present,introduced,,,,
196392903,LT,present,introduced,,,,
2927192,LT,present,introduced,,,,
196392905,LT,present,introduced,,,,
196392906,LT,present,introduced,,,,
196392908,LT,present,introduced,,,,
196392909,LT,present,introduced,,,,
196392910,LT,present,introduced,,,,
196392911,LT,present,introduced,,,,
196392914,LT,present,introduced,invasive,,,
196392915,LT,present,introduced,invasive,,,
196392918,LT,present,introduced,,,,
196392920,LT,present,introduced,,,,
196392922,LT,present,introduced,,,,
196392924,LT,present,introduced,,,,
196392925,LT,present,introduced,,,,
196392926,LT,present,introduced,,,,
7938240,LT,present,introduced,,,,
196392929,LT,present,introduced,,,,
196392930,LT,present,introduced,,,,
196392932,LT,present,introduced,invasive,,,
196392933,LT,present,introduced,,,,
196392934,LT,present,introduced,,,,
196392935,LT,present,introduced,,,,
196392938,LT,present,introduced,,,,
196392939,LT,present,introduced,,,,
196392940,LT,present,introduced,,,,
196392941,LT,present,introduced,,,,
3025770,LT,present,introduced,,,,
196392943,LT,present,introduced,,,,
8361401,LT,present,introduced,,,,
196392946,LT,present,introduced,,,,
6287826,LT,present,introduced,,,,
8670166,LT,present,introduced,,,,
3020791,LT,present,introduced,,,,
196392952,LT,present,introduced,,,,
196392953,LT,present,introduced,,,,
